title,content,rating,date
Absolutely useless when it comes to the…,Absolutely useless when it comes to the my profile review stuff. Asking all sorts of stupid questions don't help fill it in and don't ring to say your account is going to restricted and send you two letters every time saying going to review and then there was a problem but never telling you the problem. They were decent until this profile review rubbish. Going to look to switch else where as the local branch is shutting down also.,Rated 1 out of 5 stars,21 Jun 2024
New business funding and banking,NatWest Business Banking have arranged funding and banking for me as I bought a business Chloe Owens has been fantastic throughout the process staying in contact and keeping me updated throughout. So far so good!,Rated 5 out of 5 stars,22 Jun 2024
Unreliable service,"Horrendous service, you have to listen to the automated robot every single time you ring, she either doesn't understand you or tells you to go online and speak to the chat robot so it takes ages to get through to someone which is just infuriating. The call staff have always been nice but useless, it's always 'someone will call you back' which they don't and then the cycle starts again. This time the call ended after being on hold for 10 minutes, infuriating.",,22 Apr 2024
Disappointing service,"Not surprised with all the negative reviews I see here. My online banking platform wouldn’t let me make a payment from my business account for over 3 days. I was on the phone with a customer care agent who was helping me make the payment urgently over the phone. She asked me all the security questions, read all the terms/ conditions/ declarations/ rules to me and just after she confirmed the payment was about to be made, the line cut off. I called again immediately only to be told I could not be put through to her but had to go start the whole long process again with someone else for my URGENT payment to be made. She never called me back!And payment was never made.All this came after Cora kept me hanging all day, the day before.",Rated 1 out of 5 stars,2 Jul 2024
Absolutely appalling service,"Absolutely appalling service. Having banked with natwest since 2020, lately we received requests asking for business documents review. We are a brick/mortar office so provided the lease agreement, electric bills. They rejected these documents and said we will only accept: accountant/lawyer letter & VAT registration.We do not use an accountant & neither are we VAT registered. So we mentioned neither of these are actually necessary because what if a customer has no need for them? They immediately closed the account down citing “no reply to our request for documents”. What a joke.",,12 Jun 2024
If your serious about Business go elsewhere.,"Natwest have to be one of the most horrible banks I have dealt with.  They are painfully slow, have appalling customer service, and often hide behind 'bank policy' rather than be upfront with a customer.  Complete joke, and quite frankly one of the worst experiences you will have.  Do yourself a favour and go elsewhere.",Rated 1 out of 5 stars,30 Apr 2024
Not what they used to be,The service at Nat West used to ne brilliant. It is now worse than useless. Too many things are done overseas and there is little power locally to sor tout the nuymerous problems.  MNost of the problems are actually over-zealous bureaucracy from head office. The branches are still good but everything that is central seem overly process driven with NO regard for customer service.,Rated 1 out of 5 stars,8 Aug 2023
Do not use Natwest,"Awful service, awful onboarding for new business accounts. On hold for huge amounts of time, only to be passed from team to team - or told I need to visit a branch (of which they've closed every branch near me). I was told by some smarmy staff member that its impossible to be more than an hour from a branch, but after entering my postcode, quickly proved them wrong. After 20 years with them, I will now have to be moving my personal and business accounts to someone more reliable. Natwest make it impossible to do business reliably.",Rated 1 out of 5 stars,30 Jan 2024
Excellent Business Banking Services,"I have been using NatWest Bank for my business banking needs, and I am extremely satisfied with their services.As a business owner, reliable and efficient banking services are crucial for managing transactions, payroll, and other financial activities. NatWest’s business banking solutions are comprehensive and tailored to meet the specific needs of my company. The online banking platform is user-friendly, making it easy to handle business finances seamlessly.Their business support team is knowledgeable and always ready to assist with any queries or problems that arise. Whenever I’ve had issues or questions, their support team has been quick to respond and resolve my concerns efficiently. The security measures in place provide peace of mind, knowing that my business finances are well-protected.In summary, NatWest Bank has exceeded my expectations with their business banking services. I highly recommend them to any business owner looking for a reliable and efficient banking partner.",Rated 5 out of 5 stars,12 Jul 2024
Worst customer service!!! AVAOID BY ALL COSTS!,Applied for business account and have been waiting for over 3 weeks and nothing happened then contacted them TWICE and a guy called Mark Adams confirmed that he would give me a ring but never did… I’ve tried to contact him myself but he never answers the phone. Just gave up and applied through other bank.,,20 Jan 2024
Poor Customer Service:,Poor Customer Service:It never takes less than 45 minutes to reach anyone. The Account Opening process for new business accounts is absolutely horrific if there is more than one signatory. No one seems to care and all I get told is that they do 3000 applications every day.,Rated 1 out of 5 stars,22 Jan 2024
NatWest Business Profile Review,Support staff at Nat West Business Profile Review team are not trained to support the small business in getting the problems sorted:portal locks up without any reasonstaff cannot email back with a response - they send out mail by snail mail - this is 2024:(staff cannot call back but take your telephone number incase the line drops yet they cannot call you back to let you know that the portal has been sorted out and you can now access it!Give out wrong information as to who can certify documents - apparently to NatWest only solicitors and accountants can certify the documents and definitely NOT Notary - this is how well trained staff are to give advice!Never been able to speak to 1 person twice!NatWest used to be a good bank to deal with as small business owners - not any more!!,Rated 1 out of 5 stars,22 Jan 2024
I have never struggled so much to get a…,I have never struggled so much to get a switch in place . Opened account but the switching process if off the scale . Repeated questions and a stupid way of signing a document if taking photos in phone up loading rotating cropping and up loading to a form that takes a computer wiz to work out . And when you do it looks all wrong . All form filled in and now won’t send because it says I have not completed every question ????? 2 days of my life I am never going to get back . I have tried to switch personal and that was disastrous also ….. I give up !!!,Rated 1 out of 5 stars,7 Apr 2024
Is there anybody out there?,"Diabolical. I have an business application in progress for a small charity account. I made the mistake of logging out, and now I can't get back in. Tried changing the password, as e-requested. Nothing. The only option available for support is CORA. One incredibly useless AI. I am going to look for other providers.",Rated 1 out of 5 stars,31 Aug 2023
NIGHTMARE EXPERIENCE WITH BUSINESS…,"NIGHTMARE EXPERIENCE WITH BUSINESS CREDIT CARD unable to clear the balance by using online banking and clear spend which is supposed to be the credit card app. Spent 1 hour and a half on the phone, speaking whit a person that seemed to be sleeping and was unable to let me pay! Skip and skip my call and still unable to pay the balance! In 2023 is a total shame to provide a credit card service like this!",Rated 1 out of 5 stars,22 Aug 2023
Absolute joke – avoid at all costs,"I've been a NatWest customer since 1998. Am currently a personal and business customer, but I'm leaving. The service has degraded to the point where no one cares and, even worse, you are given conflicting information.Business operations take weeks instead of hours. I needed to add a new member of staff to access our bank account and was told this would take a week or two. It's 2024, not 1924. When I called in to ask for the form to do this (yes, that's right, a form, it's not available in the app or online banking) I had two agents tell me totally different things about how the process works and what's required.I've made a detailed complaint of all my experiences from the last year and have not heard back, so good bye and good riddance.",Rated 1 out of 5 stars,18 Jan 2024
Worse bank in the world and will be…,"Worse bank in the world and will be losing my business. We have a business account which they have frozen due to not ticking a box on a form they sent. This has closed my business since last Thursday. I can’t pay invoices, access money in the account, take money from customers or pay wages. In 5 days NatWest have ruined my business and left myself and staff with no money. Over what was meant to be a busy bank holiday I have been forced to close my business costing me thousands…….",Rated 1 out of 5 stars,2 Apr 2024
2 months to not open an account!,"I tried to open a business account with NatWest over 2 months ago. After a few emails to verify my identity all went quiet. Eventually they asked for business information, there was a phone call to discuss the business, then I was asked to submit bank statements. Again silence for a while, eventually I chased and it turned out they didn't get my email, so I resent. Finally I got moved to a different person, who asked me to repeat all the ID processes submit more business info. Then silence again, no indication if my application was moving forwards or not. After 2 months and 2 days, I gave up. I went to another bank and the account was open same day!",,21 Jun 2023
Dreadful bureaucratic nightmare,I have been banking personally and professionally with NATWEST for over 40 years.they used to have proper bank managersthey used to be professionalthey used to provide a decent counter servicethey used to be helpful Now they are just an online mess of unfathomable bureaucracy.the offer nothing above any other bank and in fact a lot less.Our experiences with HSBC are not much better but there online facilities are at least functional,Rated 1 out of 5 stars,23 Jun 2023
Natwest Business Profile nightmare,"Do not open a Business Account, they make you update a ridiculous ""Business Profile"" online which is impossible to complete (been trying for 3 years) when each step is rejected they threaten to restrict access to your own money until completed! Starling Bank here we come.",Rated 1 out of 5 stars,30 Mar 2023
"Clearspend waste of time, no access","If you work in a remote area, Offshore or anywhere where you do not have a mobile signal then do not accept a Natwest Credit card that is in any way associated with Clearspend. The reason for this is that they assume that everyone in the world has a mobile connection all the time and so they send a code via text to your phone to access your account. which is impossible if you don't have a signal.",Rated 1 out of 5 stars,18 Apr 2023
Full Switch IS NOT A FULL SWITCH!!!,"Switched from Natwest to Co-Op Business banking 3 yrs ago and ALL Direct Debits, Standing Orders AND IMPORTANTLY ALL PAYEES.On 1st Nov, I switched back and on the 2nd Nov realised that NON of the 130 or so Payees had been transfered :-(Raised a complaint on 2nd, but still awaiting resolution ONE MONTH ON - VERY POOR CUSTOMER SERVICE - CAN'T SPEAK TO ANYONE IN SWITCHING - CUSTOMER COMPLAINTS DON'T GET BACK TO YOU - MANAGERS PASS THE BOOK!!!",Rated 1 out of 5 stars,Updated 3 Dec 2023
Just been trying to let NatWest…,Just been trying to let NatWest Business that the ability to download my transactions in excel format is super glitchy on their website and not working. After I think 4 emails the customer service assistant victoria.fallows has said that they can't help you can't export in an excel format. I sent her a photo showing the button. She says I need to escalate to the Ombudsman! Very strange customer service behaviour. Refuses to take to her manager. Think NatWest has forgotten that it needs to get the basics right! Look forward to them resolving this for all customers.,Rated 1 out of 5 stars,19 Jun 2023
If I could give zero stars I would,"If I could give zero stars I would.  I opened a notice business deposit account in 2023.  I gave notice to withdraw funds at Christmas with the transfer due before the financial year end. I checked with NatWest when the payment would be made and found the withdrawal had not been actioned in December.  I also found that a second withdrawal notice supplied in February had not been actioned either.  During this drama I have been misled, given inaccurate information by the NatWest team, which I have addressed by providing NatWest’s own terms to the bank. correspondence has been ignored  I have since made a complaint (once over the phone and again via the website). Spoken to the individual dealing with the complaint - he has not had the decency to respond to my email providing a timeline ove events and correspondence with NW.  we are now outside of the ten day window that NW say they will deal with a complaint… Avoid this bank … it will not allow you to access your own funds even when you apply their process - Avoid",Rated 1 out of 5 stars,12 Apr 2024
Absolutely unacceptable level of service!!!!!,"Since July 2023, I have been trying to retrieve money from my dormant business account. I have provided all the details they need on their prescribed form, have emailed the relevant team for updates, but no response from them.As of today, there has been no communication from the relevant team.I raised a complaint towards this issue and it has been 6 weeks, but no solution in sight.Have emailed their CEO as well, but no response.",Rated 1 out of 5 stars,6 Oct 2023
Natwest Business online application will not recognnise my Company Numberise,"Natwest Business online application does not accept my company number.If their online system is that bad, why should I waste my precious time and effort finding a work-around???Guys, are you that bad ???I have been trading for 8 years.",,7 Feb 2023
Only provide paper copy of statement when accounts close,The business back is terrible. I closed my account with them as there monthly charges were way out of line with the rest of the market. Came to doing my accounts and they said I could only get a paper copy of my account. What nutter makes up these policies. They expect me to sit through 50/60 pages of statements with no ability to edit and change them. Why not just send a digital copy to make everyone’s life easy. Useless.,,3 Apr 2024
Design to decline....line,"Design to decline....Bank has online only platform to lend money...no branch or Business Center anymore...Online platform is corrupt system to ....mostly question and guideline has nothing to do with why you need money....no business account asked,no other documents needed...and finally they reject.Even you are their customer over 10 year,big saving with them but no consideration, It is design to decline..So if you need money for the business...please don't use their online platform.Some practice online is not even legal....made a complain and will raise these to regulator.your credit will affect because of their doggy landing practice...when it is decline online,no help available even you do business with long time...Your credit score will affected ....if you apply.....",Rated 1 out of 5 stars,1 Mar 2022
If I could give a minus I would,If I could give a minus I would. I'd recommend that you are better off setting fire to your own money before opening an account with Natwest. I have had more issues in 8 months with these than in 16 years with Lloyds. Clearspend is a joke as well. And I wouldn't bother asking for help or think about raising a complaint when no one will help as they do not care.,Rated 1 out of 5 stars,7 Aug 2023
Dreadful business experience with the…,Dreadful business experience with the My Business Profile fiasco. Banked over 20 years with NatWest since inception of the company and never been so disgusted with NatWest as previous review states. Extremely poor software not fit for purpose failing my documents yet this were uploaded by their own team from companies house . They haven’t a clue what they are doing and what’s the information for it’s unnecessary time wasting bureaucracy-I’m now waiting to hear from the complaints team.,Rated 1 out of 5 stars,20 Mar 2024
Thia is now intolerable I think we have…,"This is now intolerable I think we have been more than patient, you have sent someone else's email notice to my email AGAIN, it's not addressed to me , huge Breach on your behalf discussing service 10th time to get online banking in business, so something  is not right on your side. all of these errors are yours , take responsibility we are registered charity and we believe you are not been treated fairly , no respect at all all we want to do is be able to go online and you have made it hell for my Trustees and I. Continuing to ask for signatures ridiculous how many bloody times",,15 Dec 2023
Howfull Natwest for business banking,"Howfull Natwest for business banking. I bank with Natwest for one of the business I own. Their procedures, cusomers service are so complicated and laborious. They came up with a business profile team which need to confirm with you information they already should have about you. They send you informations or links that do not work then restrict you account also because you haven;t confirmed your business account on time. You call them to sort it out, online business puts you through the business profile team, you confirm everything they need (things such as the country of resindence of the share holders) with them on the phone and the account is still restricted for another 2 working days and cannot be accessed. You understand a business that cannot access their bank account for two days is unheard of. I bank with Santander, HSBC, Virgin and Revolut for other businesses i own and no one of them have such procedures and never faced these type of things with them",Rated 1 out of 5 stars,15 Mar 2024
NatWest My Business Profile review,"NatWest - My Business Profile portal/ team - terrible system, terrible process, terrible customer service. I’ve had my business banking with NatWest for 10 years. My personal account for more than 35 and I’ve never experienced anything as bad as this.",,8 Apr 2024
I don't understand how they can be this bad,"Unfortunately I will have to go to the trouble of switching my business account to another provider.I can only assume that Natwest don't really want business account holders because their service is truly abysmal. It is chaotic. Here is an example. It's not a one off. Something like this happens every time I call them.I needed some help. I rang the support line. I had to fight my way past the automated answering system that kept offering me choices that had nothing to do with what I said. Eventually it gives up and then puts me on hold to speak to a person. I'm now 15 minutes into the call and I'm put through to a person who clearly doesn't know what they are doing. Eventually they give me a number to call. I ring the number and after another wait the person answering tells me they have no idea why I have been given their number and suggests I call the original number I rang. I go through the whole process again, fighting my way past the automated answer machine only to be told this time that they don't know how to help me, and suggest, and I am not making this up, I go online and ask their chat bot CORA. So I do this and having gone through a whole range of nonsense from CORA it tells me a real person will contact me within an hour and they will send me a text. Nearly 24 hours later I have heard nothing.I wasted 2 hours of my day, my problem is not resolved and I have made no progress whatsoever.",Rated 1 out of 5 stars,23 Mar 2024
"Incompetent, zero communication, interminably slow.","Tried to open a new business account with NatWest. Waited a  couple of weeks then called up to ask what was happening. Got an email back that day asking a few questions which I replied to straight away. Waited a few more days, nothing. So called up again and eventually got an email asking to fill in a form, which I filled in and sent off straight away. Then? Nothing. After a few days I call up again, and eventually get an email, apparently they need bank statements, which I send over straight away. Then, nothing for days. Eventually I call up and they send me a contract to sign, which I sign straight away. Then? Nothing for days of course, I'm getting used to it at this point. When I call they tell me you have to wait 2-3 business days. A few days later we get the same contract to sign again with no explanation. So we sign it and what happens? Nothing. Eventually, after 5 weeks of waiting around I lose my patience and cancel the application. Applied to Monzo and had an account set up in half an hour, which just shows what can be done really. NatWest were completely incompetent, interminably slow, only providing updates and progressing the application when I chased them. Zero communication. Appalling. Avoid if you value your sanity.",Rated 1 out of 5 stars,20 Dec 2023
NatWest My Business Profile review via…,"NatWest My Business Profile review is a JOKE. Their Web portal doesn't work! It won't save what you enter, and won't allow you to submit unless everything is completed so stuck in a loop.Natwest help doesn't understand the concept of AML or sanctions checking and you can't speak to anyone with any level of intelligence who can assist. Natwest wants you to validate your transactions and explain what each transaction is for, and with whom, as well as evidence this with documents. We have even had to submit evidence for each monthly rental receipt that is the same amount each month. We have had to upload the same documents for every transaction. Natwest says it's for regulatory purposes but they won't send a copy of ""the regulations"" and say we have to give them the details and evidence of every transaction because we signed ""their terms of business""?Went into a branch 2 months ago to arrange a transfer which took 2 hours and required all of the documentary evidence before they would complete the transaction and guess what.... the review team wants me to prove and provide all of the information again! We paid a security deposit from our Natwest account to a national auction company (which was refunded two days later to the same account) after we were unsuccessful at the auction, and Natwest wants a solicitor or an accountant to verify the transaction before they give us access to our bank account?",,29 Apr 2024
Really unimpressed,Really unimpressed. I want to open a business savings account. Their website claims that you simply need to book a call back and that this can be done over the phone.  Twice now I’ve filled in their form and guess what?  Nobody has called!,Rated 1 out of 5 stars,4 Apr 2024
Extraordinary habits of Natwest's stressful,"Having stressful, humiliating and shameful experience with the UK Natwest bank I decided to expose the bank’s dishonesty and unprofessional actions.The professional and selfrespected banks have a system to protect and acuretly resure customer’s that their assets are safe and calculation of transactions correct. Every transaction total shown horizontally and overall total on the top of the account. It is clear for customer how much added and how much spend exact transaction and date,Natwest doesn't show transactions total horizontaly. They show the  total  only on the top of account. This give them plenty of opportunity to steal money from customers.They easily can move figurs, change figures to justify lose of assets. In credit card they don't show refunds especially people like me who like to shop online. For example, didn't show car insurance refunds £60, Amazon refunds very often, and online companies olso refund when the goods I sent back. APP is a great help which I check daily. In March they showed I was in debt £70. I don't like depts and I am very organised financially. I pay everything on time. Refunded £50 but £70 is still there. Eventually, I investigated all transactions and found out they owed me £240 refund never shown.Complaint team declared will investigate which will take 40 working days. For me, it took two hours to find out. Eventually, they sent me a message saying as a gesture of goodwill £70 I didn't pay. The message didn't accept a reply. It was very frustrating for me. The 1st of August I went Ipswich branch to open new saving account follow their advice on telephone which will give me opportunity close existing one which had limited access. I paid £200 the agent to credit new Flexible saving account and £100 in current account. The agent said me that tomorrow 2nd of August I will see new Flexible  account with £200. Next day there wasn't Flexable account no £200 and £100. I call NatWest the lady said £300 transferred into my existing saving account which I didn't want and it accepts only £50 a monthly. . I said it's not true. I suppose to have Flexible account £200 in and £100 should be in my current account. What about my existing saving account amount doesn't have anything to do with £300 which yesterday I paid in different accounts. Sarcastically the 3rd of August I saw back-dated as the 1st of August £100 & £200 and Flexible account but no money in it and nothing in my current account.They openly stolen  £300.00After sending messages to Cora and demanding £300 back to my account somebody sent me an email saying that they will investigate the case which would take 35 working days. Ridiculous. I went back to the Ipswich branch the agent who opened the Flexible account didn't understand what was happening in my account. as missing £200 and £100. In the same way I lost £200 I paid in my current accountat in Post office but I found out later after I returned from the abroad £200 want in my current account. I couldn't access my account after I  I paid. Sometimes is not available. Two weeks ago  I was in Turkey appeared in terrible situation I couldn't enter in my current account which is Apple pay.Anyway, disappearing assets from my account it is stressful. Natwest should think about it seriously. I have spoken to a couple of people the same experience they had too.",,Updated 1 Sept 2024
Avoid - Terrible customer service,"Terrible customer service, avoid and use someone who cares for its clients/customers. Just avoid!",,9 Feb 2024
Abysmal Service,"Abysmal Service. Attempting to open a business account with Natwest. Submit all identity checks with Hooyu 6-Mar. All docs OK, approved. Then Natwest responds a week later to say ""Your nationality with Companies House is different to your bank application, please update Companies House & advise when done"".No, I respond, I do not wish to update Companies House. I have dual citizenship so wish to update the application with the bank to my other nationality.So Natwest resubmits Hooyu process again, which I dutifully complete with new passport etc.Then a week later, Natwest requests that I do the Hooyu process *again* for a 3rd time. On this 3rd attempt, it now requires either a ""Travel Visa"" or a ""Residence Card"" as 2nd evidence of identity. I have neither of those, as I am a full British Citizen with a passport. But submitting my British passport, along with my other nationality, ""fails"" in the logic of Hooyu. There is no support to call, no one you can go to for help or assistance. Just a ""computer says no"" experience. Natwest have not responded to my pleas for assistance. Strikes me that they are going out of their way to say ""We don't want your business. Unless you are turning over £1M+, just forget it"".Natwest / Hooyu - it is working. I will make it my personal business to make sure I *never* bank with you. As for Hooyu development team, your identity experience is appalling. What ever happened to going into a bank, seeing your business manager, and setting up an account in 20mins?",Rated 1 out of 5 stars,30 Mar 2023
If I could put Minus 10 stars I would,"If I could put Minus 10 stars I would. It has now been over 4 months since We applied to switch our Business Account finally this happened last week. Received 2 letters and emails confirming this and that my other Business Account that we switched from was closed and all of information the information had been transferred. Guess what I went to pay our staff today and there details weren’t there and as I said we have letters stating what they had passed Across to Nat West !! So I phoned the switch team and they said I would have to call Business Customer Service. Which I did and explained everything to the young man who said he didn’t know what to do and could he put me on hold, so I was on hold 5+ minutes then a young lady answered saying complaints I said I hope her colleague had explained “Guess what no all he done was transferred the Call this has happened several times over the past 4 months. So I had to explain it all again and all went silent for a couple minutes so I said “are you still there?” Got “yes” she said she was sorry but there was nothing she could do “ INTERESTING REMOTE WORKER LITTLE KNOWLEDGE AND SHE COULD NOT PASS TO A MANAGER???!”So I asked her to contact the switch team and call me back?She did callback with absolutely nothing to help me. I told her I was on holiday and would have to travel home to get all the employees details to pay them. No help only she would open another complaint and escalate it!Where has the days gone when if you had to end up Complaining. The people knew what there business done and would take ownership and sort. Totally fed up she was useless I did tell her and said I m not having a go at you , however she should not be working remotely not knowing how to manage complaints. She again said sorry “THAT DOESN’t HELP” and she would not pass me to a manager. She also tried to blame my old Bank which I had contacted already however as I had closed the account the only information they could give me was send by post the last 3 months statements. So she doesn’t know the Banking Code. Oh well here’s to a 3 hour trip home so my staff get paid.",Rated 1 out of 5 stars,28 Jun 2024
"Business review portal has failings, help team can't help","We've recently failed multiple times to complete a business review despite being a NatWest business customer for over 20 years.NatWest withdrew our access to our account on 18th Feb (as threatened) despite us uploading the requested documents several times and us explaining we needed more time due to a planned holiday. This was ignored even though at this point both us and NatWest staff were locked out of our portal. We returned on the 3rd March unable to access our accounts with payments not being received or sent. Ater multiple calls to the help team, and a letter to prove our business partnership being rejected (despite us having it adjusted by our accountants numerous times to fit the requirements) we visited our nearest branch (40 mile round trip). Refusing to leave the bank managers office until sorted was the only way we've been able to gain access to our account. I feel the behaviour of NatWest has been a violation. I am thankful that we didn't have mortgage payments, house insurance or vehicle insurance payments to make from that account and default on and that we are fortunate enough to have enough money in a personal account until we were able to have access to our money again. I have felt extremely upset, frustrated and powerless throughout this process and so angry that a bank we have used for over 20 years left us in a position of not being able to function. I'm not sure what position we'd be in had we defaulted on an insurance payment during this experience that we later required.",Rated 1 out of 5 stars,21 Mar 2024
NATWEST BULLYING AND INEFFICIENCY,"My business is 35 years old. We are small, but trade internationally in USD and EUR. We have NEVER overdrawn and always maintain healthy account balances for which we receive no interest. We have banked with Natwest for 12 years. BUT NEVER AGAIN.In March this year, I began receiving emails (followed by letters) telling me that we had to go online and provide information for a ""business review""; and that if we did not do so by a certain date, access to our accounts (ie money) might be suspended. The process was long drawn out, required lots of data to be researched for answers, and was not helped by broken links and a dysfunctional web site that crashed several times during inputs. A few days later, we received a ""reminder"" (for an email we never received) telling us the information was incomplete, and now threatening a fairly imminent suspension of our accounts. To make a long story short, we received many more of these ""reminders"" over the ensuing weeks, each telling us the infomation we had provided was unaccepted or incomplete, and many times we had to answer ridiculous requests for information that should have been obvious to Natwest from the information they already had (like ""We have observed that your overheads have increased this year. Please explain.""). Clearly a poorly written AI system was behind much of this.The threats of accounts suspension came thick and fast, despite us responding immediately to every request. Finally they acknowldged that we had answered all questions satisfactorily, but we never ever received a message saying the case was closed. In the meantime, fearing for the consequences of an abrupt closure of our accounts and loss of funds, we set up alternative accounts with another bank, which wasted a lot of time but was essential as a counter measure to maintain business continuity.I complained to Natwest's Chief Executive about this ridiculous process, and the constant threats and bullying we had endured. The matter was referred to an agent who apologised, paid us £250 in compensation (paltry considering the time we had wasted on this, and the extreme stress caused) and sent a very nice hamper. we were assured lessons had been learned and that nothing like this would happen again.I was on the point of moving our funds back to Natwest, when the whole process unbelievably began all over again!!!!! Yet another email ""reminder"" for us to complete the review, or our accounts would be suspended in days.I have now lost patience, and wrote to Natwest telling them to close our accounts. 9 days later, they have done nothing, except levy bank charges that have overdrawn one of the accounts, for which I am now receiving text messages . . . . with threats of account suspension!!!!It's a bad joke: Natwest could easily have destroyed my business. And this is the bank WE have all paid to bail out after their behaviour in the banking crisis. They have learned nothing, except how to keep paying their fat cat salaries.SORRY, IF YOU BANK WITH NATWEST AFTER READING THIS, YOU DESERVE EVERYTHING YOU GET. NEXT TIME, IT WILL BE YOU.",Rated 1 out of 5 stars,18 Jul 2024
No happy customer service  seet service…,No happy customer service  seet service  and horrible questions about a transaction and not insurance for minimum legal !!,Rated 1 out of 5 stars,22 Apr 2024
Vile Incompetent and useless beyond…,Vile Incompetent and useless beyond anything you could imagine,Rated 1 out of 5 stars,31 Jan 2024
